codigo_uc;nome_uc;categoria_manejo;area_ha;grupo;ano;grupo_norm
89;FLORESTA NACIONAL DE CAXIUANÃ;Floresta;317945.0;US;2022;US
91;FLORESTA NACIONAL DE GOYTACAZES;Floresta;1426.0;US;2022;US
100;FLORESTA NACIONAL DE NÍSIA FLORESTA;Floresta;169.0;US;2022;US
113;FLORESTA NACIONAL DE AMAPÁ;Floresta;460360.0;US;2022;US
122;FLORESTA NACIONAL DE RIO PRETO;Floresta;2817.0;US;2022;US
127;FLORESTA NACIONAL DE MÁRIO XAVIER;Floresta;496.0;US;2022;US
132;FLORESTA NACIONAL DA RESTINGA DE CABEDELO;Floresta;115.0;US;2022;US
140;PARQUE NACIONAL DA LAGOA DO PEIXE;Parque;36716.0;PI;2022;PI
141;PARQUE NACIONAL RESTINGA DE JURUBATIBA;Parque;14919.0;PI;2022;PI
142;PARQUE NACIONAL DA SERRA DA BOCAINA;Parque;106565.0;PI;2022;PI
147;PARQUE NACIONAL DA SERRA DE ITABAIANA;Parque;8025.0;PI;2022;PI
152;PARQUE NACIONAL DA SERRA DOS ORGÃOS;Parque;20021.0;PI;2022;PI
154;PARQUE NACIONAL DA TIJUCA;Parque;3958.0;PI;2022;PI
162;PARQUE NACIONAL DE JERICOACOARA;Parque;8863.0;PI;2022;PI
164;PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;Parque;24352.0;PI;2022;PI
169;PARQUE NACIONAL DO CABO ORANGE;Parque;657328.0;PI;2022;PI
171;PARQUE NACIONAL DO DESCOBRIMENTO;Parque;22694.0;PI;2022;PI
176;PARQUE NACIONAL PAU BRASIL;Parque;18934.0;PI;2022;PI
178;PARQUE NACIONAL DO SUPERAGUI;Parque;33860.0;PI;2022;PI
180;PARQUE NACIONAL DOS LENÇOIS MARANHENSES;Parque;156562.0;PI;2022;PI
182;PARQUE NACIONAL DO MONTE PASCOAL;Parque;22240.0;PI;2022;PI
185;PARQUE NACIONAL MARINHO DOS ABROLHOS;Parque;87954.0;PI;2022;PI
186;PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;Parque;10933.0;PI;2022;PI
187;PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;Parque;3827788.0;PI;2022;PI
195;RESERVA BIOLÓGICA DE COMBOIOS;Reserva Biológica;785.0;PI;2022;PI
196;RESERVA BIOLÓGICA GUARIBAS;Reserva Biológica;4052.0;PI;2022;PI
198;RESERVA BIOLÓGICA DE SALTINHO;Reserva Biológica;563.0;PI;2022;PI
199;RESERVA BIOLÓGICA DE SANTA ISABEL;Reserva Biológica;4110.0;PI;2022;PI
201;RESERVA BIOLÓGICA DE SOORETAMA;Reserva Biológica;27859.0;PI;2022;PI
202;RESERVA BIOLÓGICA DE UNA;Reserva Biológica;18725.0;PI;2022;PI
203;RESERVA BIOLÓGICA ATOL DAS ROCAS;Reserva Biológica;35186.0;PI;2022;PI
205;RESERVA BIOLÓGICA DO CÓRREGO GRANDE;Reserva Biológica;1504.0;PI;2022;PI
209;RESERVA BIOLÓGICA DO LAGO PIRATUBA;Reserva Biológica;392468.0;PI;2022;PI
212;RESERVA BIOLÓGICA DO TINGUÁ;Reserva Biológica;24813.0;PI;2022;PI
214;RESERVA BIOLÓGICA MARINHA DO ARVOREDO;Reserva Biológica;17105.0;PI;2022;PI
217;RESERVA BIOLÓGICA UNIÃO;Reserva Biológica;7757.0;PI;2022;PI
218;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITATUPÃ-BAQUIÁ;Reserva de Desenvolvimento Sustentável;64441.0;US;2022;US
223;RESERVA EXTRATIVISTA CHOCOARÉ-MATO GROSSO;Reserva Extrativista;2783.0;US;2022;US
225;RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAIBA;Reserva Extrativista;27022.0;US;2022;US
227;RESERVA EXTRATIVISTA MARACANÃ;Reserva Extrativista;30179.0;US;2022;US
228;RESERVA EXTRATIVISTA SÃO JOÃO DA PONTA;Reserva Extrativista;3409.0;US;2022;US
231;RESERVA EXTRATIVISTA DO BATOQUE;Reserva Extrativista;601.0;US;2022;US
234;RESERVA EXTRATIVISTA MANDIRA;Reserva Extrativista;1178.0;US;2022;US
243;RESERVA EXTRATIVISTA MAE GRANDE DE CURUÇA;Reserva Extrativista;36828.0;US;2022;US
245;RESERVA EXTRATIVISTA MARINHA DA BAIA DE IGUAPÉ;Reserva Extrativista;10082.0;US;2022;US
246;RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ;Reserva Extrativista;10197.0;US;2022;US
247;RESERVA EXTRATIVISTA MARINHA ARAI-PEROBA;Reserva Extrativista;62578.0;US;2022;US
248;RESERVA EXTRATIVISTA MARINHA CAETÉTAPERAÇU;Reserva Extrativista;42490.0;US;2022;US
249;RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ;Reserva Extrativista;72790.0;US;2022;US
250;RESERVA EXTRATIVISTA MARINHA TRACUATEUA;Reserva Extrativista;27865.0;US;2022;US
251;RESERVA EXTRATIVISTA MARINHA ARRAIAL DO CABO;Reserva Extrativista;51650.0;US;2022;US
252;RESERVA EXTRATIVISTA CORUMBAU;Reserva Extrativista;89996.0;US;2022;US
253;RESERVA EXTRATIVISTA DE CANAVIEIRAS;Reserva Extrativista;100687.0;US;2022;US
254;RESERVA EXTRATIVISTA MARINHA DE SOURE;Reserva Extrativista;29579.0;US;2022;US
255;RESERVA EXTRATIVISTA MARINHA PIRAJUBAÉ;Reserva Extrativista;1687.0;US;2022;US
263;ESTAÇÃO ECOLÓGICA DA GUANABARA;Estação Ecológica;1936.0;PI;2022;PI
269;FLORESTA NACIONAL DO IBURA;Floresta;144.0;US;2022;US
273;RESERVA EXTRATIVISTA ARIÓCA PRUANÃ;Reserva Extrativista;83817.0;US;2022;US
279;RESERVA EXTRATIVISTA DE CURURUPU;Reserva Extrativista;185192.0;US;2022;US
282;RESERVA EXTRATIVISTA TERRA GRANDE PRACUUBA;Reserva Extrativista;194857.0;US;2022;US
288;RESERVA EXTRATIVISTA GURUPÁ-MELGAÇO;Reserva Extrativista;145409.0;US;2022;US
291;RESERVA BIOLÓGICA DO PARAZINHO;Reserva Biológica;276.0;PI;2022;PI
292;RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO IRATAPURU;Reserva de Desenvolvimento Sustentável;873577.0;US;2022;US
293;ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ;Área de Proteção Ambiental;21873.0;US;2022;US
301;ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA;Área de Proteção Ambiental;231997.0;US;2022;US
302;ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE;Área de Proteção Ambiental;352767.0;US;2022;US
303;ÁREA DE PROTEÇÃO AMBIENTAL GUAIBIM;Área de Proteção Ambiental;2079.0;US;2022;US
304;ÁREA DE PROTEÇÃO AMBIENTAL TINHARÉ / BOIPEBA;Área de Proteção Ambiental;31071.0;US;2022;US
306;ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS;Área de Proteção Ambiental;345544.0;US;2022;US
308;ÁREA DE PROTEÇÃO AMBIENTAL COROA VERMELHA;Área de Proteção Ambiental;3715.0;US;2022;US
309;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE;Área de Proteção Ambiental;62609.0;US;2022;US
310;ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO;Área de Proteção Ambiental;31927.0;US;2022;US
312;ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA;Área de Proteção Ambiental;158401.0;US;2022;US
313;ÁREA DE PROTEÇÃO AMBIENTAL RIO CAPIVARA;Área de Proteção Ambiental;3215.0;US;2022;US
315;ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS E DUNAS DO ABAETÉ;Área de Proteção Ambiental;1242.0;US;2022;US
316;ÁREA DE PROTEÇÃO AMBIENTAL LAGOAS DE GUARAJUBA;Área de Proteção Ambiental;2027.0;US;2022;US
318;ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEDRA DO CAVALO;Área de Proteção Ambiental;47244.0;US;2022;US
319;ÁREA DE PROTEÇÃO AMBIENTAL PRATIGI;Área de Proteção Ambiental;93445.0;US;2022;US
320;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS;Área de Proteção Ambiental;138496.0;US;2022;US
321;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO COBRE / SÃO BARTOLOMEU;Área de Proteção Ambiental;1153.0;US;2022;US
323;ÁREA DE PROTEÇÃO AMBIENTAL LITORAL NORTE;Área de Proteção Ambiental;137182.0;US;2022;US
325;PARQUE ESTADUAL DA SERRA DO CONDURU;Parque;9151.0;PI;2022;PI
326;ÁREA DE PROTEÇÃO AMBIENTAL MANGUE SECO;Área de Proteção Ambiental;3395.0;US;2022;US
327;ÁREA DE PROTEÇÃO AMBIENTAL SANTO ANTÔNIO;Área de Proteção Ambiental;25923.0;US;2022;US
