ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;Grupo;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Biomas Abrangidos
1146;0000.00.1146;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA METODISTA ANA GONZAGA - CEMAG;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1999;1999;Portaria 44-N de 13/05/1999;;Rio de Janeiro (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;73;73;73;;0;0;0;73;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1148;0000.00.1148;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATO GROSSO;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;2001;2001;Portaria 72 de 23/05/2001;;Saquarema (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;26;26;26;;0;0;0;26;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1149;0000.00.1149;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL QUERÊNCIA;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1999;1999;Portaria 5-N de 01/02/1999;;Magé (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;6;6;6;;0;0;0;6;0;0;0;Mata Atlântica;US;;0;1;1;;;;Mosaico Mata Atlântica Central Fluminense;RB - Mata Atlântica;Mata Atlântica
1153;0000.00.1153;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO ANGABA;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1992;1992;Portaria 41 de 07/04/1992;;Itaguaí (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;29;29;29;;0;0;0;29;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1155;0000.00.1155;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CÓRREGO DA LUZ;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1993;1993;Portaria 16-N de 19/02/1993;;Casimiro de Abreu (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;20;20;20;;0;0;0;20;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1156;0000.00.1156;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA CACHOEIRINHA;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1999;1999;Portaria 22-N de 23/02/1999;;Mangaratiba (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;650;650;650;;0;0;0;650;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1160;0000.00.1160;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL EL NAGUAL;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1999;1999;Portaria 88-N de 15/10/1999;;Magé (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;17;17;17;;0;0;0;17;0;0;0;Mata Atlântica;US;;0;1;1;;;;Mosaico Mata Atlântica Central Fluminense;RB - Mata Atlântica;Mata Atlântica
1161;0000.00.1161;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CÉU DO MAR;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1994;1994;Portaria 102 de 29/09/1994;;Rio de Janeiro (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;3;3;3;;0;0;0;3;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1168;0000.00.1168;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA PORANGABA;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;2002;2002;Portaria 123 de 20/09/2002;;Itaguaí (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;9;9;9;;0;0;0;9;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1173;0000.00.1173;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PORANGA;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1992;1992;Portaria 41 de 07/04/1992;;Itaguaí (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;34;34;34;;0;0;0;34;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1175;0000.00.1175;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO GRANJA SÃO JORGE;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;1999;1999;Portaria 91-N de 15/10/1999;;Rio de Janeiro (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;3;3;3;;0;0;0;3;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
1179;0000.00.1179;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CEC/TINGUÁ;Federal;Reserva Particular do Patrimônio Natural;Category IV;RJ;2002;2002;Portaria 176 de 31/12/2002;;Nova Iguaçu (RJ);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;0;17;17;17;;0;0;0;17;0;0;0;Mata Atlântica;US;;0;1;1;;;;Mosaico Mata Atlântica Central Fluminense;RB - Mata Atlântica;Mata Atlântica
