Código UC;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área (ha);Área (ha) Amazônia;Área (ha) Caatinga;Área (ha) Cerrado;Área (ha) Mata Atlântica;Área (ha) Pampa;Área (ha) Pantanal;Área (ha) Área Marinha
0000.00.0247;RESERVA EXTRATIVISTA MARINHA ARAI-PEROBA;Federal;Reserva Extrativista;Category VI;PA;2005;Decreto legislativo S/N de 20/05/2005;-;Augusto Corrêa (PA);Não;Sim;62.577;39.686;0;0;0;0;0;22.892
0000.00.0248;RESERVA EXTRATIVISTA MARINHA CAETÉTAPERAÇU;Federal;Reserva Extrativista;Category VI;PA;2005;Decreto S/N de 20/05/2005;-;Bragança (PA);Não;Sim;42.490;26.011;0;0;0;0;0;16.479
0000.00.0249;RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ;Federal;Reserva Extrativista;Category VI;PA;2005;Decreto S/N de 20/05/2005;-;Viseu (PA);Não;Não;72.790;41.787;0;0;0;0;0;31.003
0000.00.0250;RESERVA EXTRATIVISTA MARINHA TRACUATEUA;Federal;Reserva Extrativista;Category VI;PA;2005;Decreto S/N de 20/05/2005;-;Tracuateua (PA);Não;Sim;27.865;18.637;0;0;0;0;0;9.228
0000.00.0251;RESERVA EXTRATIVISTA MARINHA ARRAIAL DO CABO;Federal;Reserva Extrativista;Category VI;RJ;1997;Decreto S/N de 03/01/1997;-;Arraial do Cabo (RJ);Não;Não;51.677;0;0;0;661;0;0;51.016
0000.00.0252;RESERVA EXTRATIVISTA CORUMBAU;Federal;Reserva Extrativista;Category VI;BA;2000;Decreto S/N de 21/09/2000;-;Porto Seguro (BA), Prado (BA);Não;Sim;89.997;0;0;0;432;0;0;89.565
0000.00.0253;RESERVA EXTRATIVISTA DE CANAVIEIRAS;Federal;Reserva Extrativista;Category VI;BA;2006;Decreto S/N de 05/06/2006;-;Belmonte (BA), Canavieiras (BA), Una (BA);Não;Sim;100.688;0;0;0;13.560;0;0;87.128
0000.00.0254;RESERVA EXTRATIVISTA MARINHA DE SOURE;Federal;Reserva Extrativista;Category VI;PA;2001;Decreto S/N de 22/11/2001;-;Soure (PA);Não;Sim;29.579;22.736;0;0;0;0;0;6.843
0000.00.0255;RESERVA EXTRATIVISTA MARINHA PIRAJUBAÉ;Federal;Reserva Extrativista;Category VI;SC;1992;Decreto 533 de 20/05/1992;-;Florianópolis (SC);Não;Não;1.712;0;0;0;1.712;0;0;0
0000.00.0263;ESTAÇÃO ECOLÓGICA DA GUANABARA;Federal;Estação Ecológica;Category Ia;RJ;2006;Decreto S/N de 15/02/2006;-;Guapimirim (RJ), Itaboraí (RJ), São Gonçalo (RJ);Sim;Sim;1.936;0;0;0;1.604;0;0;333
0000.00.0269;FLORESTA NACIONAL DO IBURA;Federal;Floresta;Category VI;SE;2005;Decreto S/N de 19/09/2005;-;Laranjeiras (SE), Nossa Senhora do Socorro (SE);Não;Não;144;0;0;0;144;0;0;0
0000.00.0273;RESERVA EXTRATIVISTA ARIÓCA PRUANÃ;Federal;Reserva Extrativista;Category VI;PA;2005;Decreto S/N de 16/11/2005;-;Oeiras do Pará (PA);Não;Não;83.816;83.816;0;0;0;0;0;0
0000.00.0279;RESERVA EXTRATIVISTA DE CURURUPU;Federal;Reserva Extrativista;Category VI;MA;2004;Decreto S/N de 02/06/2004;-;Cururupu (MA);Sim;Sim;185.195;80.926;0;0;0;0;0;104.269
0000.00.0282;RESERVA EXTRATIVISTA TERRA GRANDE PRACUUBA;Federal;Reserva Extrativista;Category VI;PA;2006;Decreto S/N de 05/06/2006;-;Porto de Moz (PA);Não;Sim;194.868;194.868;0;0;0;0;0;0
0000.00.0288;RESERVA EXTRATIVISTA GURUPÁ-MELGAÇO;Federal;Reserva Extrativista;Category VI;PA;2006;Decreto S/N de 30/11/2006;-;Gurupá (PA), Melgaço (PA);Não;Não;145.422;145.422;0;0;0;0;0;0
0000.16.0291;RESERVA BIOLÓGICA DO PARAZINHO;Estadual;Reserva Biológica;Category Ia;AP;1985;Decreto 5 de 21/01/1985;-;Macapá (AP);Não;Não;276;0;0;0;0;0;0;276
0000.16.0292;RESERVA DE DESENVOLVIMENTO SUSTENTáVEL DO RIO IRATAPURU;Estadual;Reserva de Desenvolvimento Sustentável;Category VI;AP;1997;Lei ordinária 392 de 11/12/1997;-;Laranjal do Jari (AP), Mazagão (AP), Pedra Branca do Amapari (AP);Sim;Sim;873.552;873.552;0;0;0;0;0;0
0000.16.0293;ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ;Estadual;Área de Proteção Ambiental;Category V;AP;1998;Decreto 431 de 15/09/1998;-;Macapá (AP);Não;Sim;21.873;21.873;0;0;0;0;0;0
0000.29.0301;ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA;Estadual;Área de Proteção Ambiental;Category V;BA;2003;Decreto 8552 de 05/06/2003;Retificação - Decreto 17036 de 22/09/2016;Cairu (BA), Jiquiriça (BA), Nilo Peçanha (BA), Taperoá (BA), Teolândia (BA), Ubaíra (BA), Valença (BA), Wenceslau Guimarães (BA);Não;Não;232.010;0;0;0;232.010;0;0;0
