Código UC,Nome da UC,Municípios Abrangidos
0000.00.0273,RESERVA EXTRATIVISTA ARIÓCA PRUANÃ,OEIRAS DO PARÁ (PA)
0000.00.0279,RESERVA EXTRATIVISTA DE CURURUPU,APICUM-AÇU (MA) - BACURI (MA) - CURURUPU (MA) - SERRANO DO MARANHÃO (MA)
0000.00.0282,RESERVA EXTRATIVISTA TERRA GRANDE-PRACUÚBA,CURRALINHO (PA) - SÃO SEBASTIÃO DA BOA VISTA (PA)
0000.00.0288,RESERVA EXTRATIVISTA GURUPÁ-MELGAÇO,GURUPÁ (PA) - MELGAÇO (PA)
0000.00.1045,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO DO JACU,CARAGUATATUBA (SP)
0000.00.1053,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DO CURUSSU MIRIM,UBATUBA (SP)
0000.00.1065,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA RIZZIERI,SÃO SEBASTIÃO (SP)
0000.00.1070,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TOQUE TOQUE PEQUENO,SÃO SEBASTIÃO (SP)
0000.00.1075,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CARBOCLORO S/A,CUBATÃO (SP)
0000.00.1082,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NORMANDO TEDESCO,BALNEÁRIO CAMBORIÚ (SC)
0000.00.1083,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMITAL,ITAPOÁ (SC)
0000.00.1084,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA NATURAL MENINO DEUS,FLORIANÓPOLIS (SC)
0000.00.1094,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DA PALHA,SÃO FRANCISCO DO SUL (SC)
0000.00.1095,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DAS ARANHAS,FLORIANÓPOLIS (SC)
0000.00.1097,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAETEZAL,JOINVILLE (SC)
0000.00.1100,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DO GUAXINIM,SÃO JOSÉ (SC)
0000.00.1101,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PASSARIM,PAULO LOPES (SC)
0000.00.1103,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA DO CAPÃO GRANDE,BARRA DO RIBEIRO (RS)
0000.00.1106,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RECANTO DO ROBALO,TORRES (RS)
0000.00.1113,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA PARTICULAR PROFESSOR DELMAR HARRY DOS REIS,VIAMÃO (RS)
0000.00.1114,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SAPUCAIA,MARAÚ (BA)
0000.00.1121,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PONTAL DA BARRA,PELOTAS (RS)
0000.00.1122,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHACARA SANANDUVA,VIAMÃO (RS)
0000.00.1124,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA SANTA RITA,SANTA VITÓRIA DO PALMAR (RS)
0000.00.1125,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FARROUPILHA,VIAMÃO (RS)
0000.00.1137,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA ESTRELA,BAÍA FORMOSA (RN)
0000.00.1142,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GLEBA O SAQUINHO DE ITAPIRAPUÁ,ANGRA DOS REIS (RJ)
