Código UC,Nome da UC,Municípios Abrangidos
0000.42.3963,ÁREA DE PROTEÇÃO AMBIENTAL DO ENTORNO COSTEIRO,FLORIANÓPOLIS (SC) - GAROPABA (SC) - PALHOÇA (SC) - PAULO LOPES (SC)
0000.42.4146,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL SONHO AZUL,PALHOÇA (SC)
0000.42.4358,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL ICAP - INDUSTRIA E COMÉRCIO CATARINENSE DE PESCADOS LTDA,PORTO BELO (SC)
0000.42.4578,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL DONA AUGUSTA,JOINVILLE (SC)
0000.42.4642,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL DONA BLANKA,BALNEÁRIO CAMBORIÚ (SC)
0000.42.4897,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL DO SISSIAL,GOVERNADOR CELSO RAMOS (SC)
0000.42.4996,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL COSTA ESMERALDA,PORTO BELO (SC)
0000.43.1863,PARQUE ESTADUAL DE ITAPEVA,TORRES (RS)
0000.43.1988,ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE,GLORINHA (RS) - GRAVATAÍ (RS) - SANTO ANTÔNIO DA PATRULHA (RS) - VIAMÃO (RS)
0000.43.1993,RESERVA BIOLÓGICA DO MATO GRANDE,ARROIO GRANDE (RS)
0000.43.1994,PARQUE ESTADUAL DE ITAPUÃ,VIAMÃO (RS)
0000.43.1995,ESTAÇÃO ECOLÓGICA ESTADUAL ARATINGA,ITATI (RS) - SÃO FRANCISCO DE PAULA (RS)
0000.43.1996,ÁREA DE PROTEÇÃO AMBIENTAL ROTA DO SOL,CAMBARÁ DO SUL (RS) - ITATI (RS) - SÃO FRANCISCO DE PAULA (RS) - TRÊS FORQUILHAS (RS)
0000.43.2006,REFÚGIO DE VIDA SILVESTRE BANHADO DOS PACHECOS,VIAMÃO (RS)
0000.43.2008,RESERVA BIOLÓGICA ESTADUAL MATA PALUDOSA,ITATI (RS)
0000.43.2010,RESERVA BIOLÓGICA DA SERRA GERAL,ITATI (RS) - MAQUINÉ (RS) - TERRA DE AREIA (RS)
0000.43.3514,REFÚGIO DE VIDA SILVESTRE BANHADO DO MAÇARICO,RIO GRANDE (RS)
0000.43.3736,PARQUE ESTADUAL DO CAMAQUÃ,CAMAQUÃ (RS) - SÃO LOURENÇO DO SUL (RS)
0000.43.3753,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTADUAL BARBA,BARRA DO RIBEIRO (RS)
0010.33.3859,PARQUE NATURAL MUNICIPAL DA MATA ATLÂNTICA,ANGRA DOS REIS (RJ)
0023.33.2050,PARQUE NATURAL MUNICIPAL DOS CORAIS DE ARMAÇÃO DOS BÚZIOS,ARMAÇÃO DOS BÚZIOS (RJ)
0025.33.1850,RESERVA BIOLÓGICA DO BREJO JARDIM E ORQUÍDEAS,ARRAIAL DO CABO (RJ)
0025.33.1926,PARQUE NATURAL MUNICIPAL DA RESTINGA DA MASSAMBABA,ARRAIAL DO CABO (RJ)
0030.28.3459,PARQUE NATURAL MUNICIPAL DO POXIM,ARACAJU (SE)
0040.32.2539,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MUNICIPAL PAPAGAIO,ANCHIETA (ES)
0040.32.2575,ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL TARTARUGAS,ANCHIETA (ES)
0040.32.2957,ÁREA DE PROTEÇÃO AMBIENTAL MONTE URUBU,ANCHIETA (ES)
0060.32.1565,PARQUE NATURAL MUNICIPAL DO ARICANGA WALDEMAR DEVENS,ARACRUZ (ES)
0060.32.1566,PARQUE NATURAL MUNICIPAL DAVID VICTOR FARINA,ARACRUZ (ES)
0060.32.2919,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MUNICIPAL PIRAQUE-AÇÚ E PIRAQUE-MIRIM,ARACRUZ (ES)
0080.15.1960,AREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE AMBIENTAL ANTONIO DANUBIO LOURENÇO DA SILVA,ANANINDEUA (PA)
0080.15.2663,AREA DE RELEVANTE INTERESSE ECOLOGICO MUSEU PARQUE SERINGAL,ANANINDEUA (PA)
0093.33.3621,PARQUE NATURAL MUNICIPAL DA RESTINGA DE CARAPEBUS,CARAPEBUS (RJ)
0093.33.3628,REFÚGIO DE VIDA SILVESTRE - FAZENDA SÃO LÁZARO,CARAPEBUS (RJ)
0093.33.3629,ÁREA DE PROTEÇÃO AMBIENTAL DA CARAPEBA BOA,CARAPEBUS (RJ)
0093.33.3630,MONUMENTO NATURAL MUNICIPAL SÃO SIMÃO,CARAPEBUS (RJ)
0100.33.3060,ÁREA DE PROTEÇÃO AMBIENTAL WALDEIR GONÇALVES - SERRA DO ITAÓCA,CAMPOS DOS GOYTACAZES (RJ)
0100.33.3115,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DE CIMA,CAMPOS DOS GOYTACAZES (RJ)
0100.33.4998,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DAS ILHAS CATAGUÁS,ANGRA DOS REIS (RJ)
0100.33.4999,ÁREA DE PROTEÇÃO AMBIENTAL - APA DA BACIA HIDROGRÁFICA DO RIO JAPUÍBA,ANGRA DOS REIS (RJ)
0110.23.2873,ÁREA DE PROTEÇÃO AMBIENTAL DE CANOA-QUEBRADA,ARACATI (CE)
0120.24.4075,PARQUE NATURAL MUNICIPAL JOSÉ MULATO,ARÊS (RN)
0130.32.2598,PARQUE NATURAL MUNICIPAL DO MANGUEZAL DE ITANGUÁ,CARIACICA (ES)
0130.32.2599,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL MUNICIPAL DO MANGUEZAL DE CARIACICA,CARIACICA (ES)
0130.32.2600,PARQUE NATURAL MUNICIPAL DO MONTE MOCHUARA,CARIACICA (ES)
0130.32.2601,ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO MONTE MOCHUARA,CARIACICA (ES)
0160.32.3426,PARQUE NATURAL MUNICIPAL DE CONCEIÇÃO DA BARRA,CONCEIÇÃO DA BARRA (ES)
0170.33.3230,RESERVA BIOLÓGICA DO PARQUE EQUITATIVA,DUQUE DE CAXIAS (RJ)
0170.33.3231,PARQUE NATURAL MUNICIPAL DA CAIXA D´ÁGUA,DUQUE DE CAXIAS (RJ)
0170.33.3232,ÁREA DE PROTEÇÃO AMBIENTAL DE SÃO BENTO,DUQUE DE CAXIAS (RJ)
0185.33.3335,PARQUE NATURAL MUNICIPAL NASCENTE DO JAIBI,GUAPIMIRIM (RJ)
0190.33.3697,PARQUE NATURAL MUNICIPAL PALEONTOLÓGICO DE SÃO JOSÉ DE ITABORAÍ,ITABORAÍ (RJ)
0200.33.3981,ÁREA DE PROTEÇÃO AMBIENTAL ITAGUAÍ ITINGUSSÚ ESPIGÃO TAQUARA,ITAGUAÍ (RJ)
0200.33.3984,ÁREA DE PROTEÇÃO AMBIENTAL DO SACO DE COROA GRANDE,ITAGUAÍ (RJ)
0200.42.2643,PARQUE NATURAL MUNICIPAL RAIMUNDO GONÇALEZ MALTA,BALNEÁRIO CAMBORIÚ (SC)
0210.42.3688,PARQUE NATURAL MUNICIPAL CAMINHO DO PEABIRU,BARRA VELHA (SC)
0220.32.2039,PARQUE NATURAL MUNICIPAL GOIAPABA-AÇU,FUNDÃO (ES)
0230.42.3536,PARQUE NATURAL MUNICIPAL SERRA DE SÃO MIGUEL,BIGUAÇU (SC)
0233.33.5010,ÁREA DE PROTEÇÃO AMBIENTAL DAS ÁGUAS DE TUCUNS,ARMAÇÃO DOS BÚZIOS (RJ)
0233.33.5013,MONUMENTO NATURAL JOSEFA BRAGA DE ALMEIDA,ARMAÇÃO DOS BÚZIOS (RJ)
0240.15.3739,PARQUE NATURAL MUNICIPAL DE CASTANHAL/PARÁ,CASTANHAL (PA)
0240.32.2939,PARQUE NATURAL MUNICIPAL MORRO DA PESCARIA,GUARAPARI (ES)
0240.33.2028,ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPELAGO DE SANTANA,MACAÉ (RJ)
0240.33.2035,PARQUE NATURAL MUNICIPAL ATALAIA GUALTER CORRÊA DE FARIA,MACAÉ (RJ)
0240.33.2036,PARQUE NATURAL MUNICIPAL DO ESTUÁRIO DO RIO MACAÉ,MACAÉ (RJ)
0240.33.2047,ÀREA DE PROTEÇÃO AMBIENTAL DO SANA,MACAÉ (RJ)
0240.33.3553,PARQUE NATURAL MUNICIPAL DA RESTINGA DO BARRETO,MACAÉ (RJ)
0250.33.2789,PARQUE NATURAL MUNICIPAL BARÃO DE MAUÁ,MAGÉ (RJ)
0250.33.2801,ÁREA DE PROTEÇÃO AMBIENTAL SURUÍ,MAGÉ (RJ)
0253.16.4562,ÁREA DE PROTEÇÃO AMBIENTAL DO CARMO,ITAUBAL (AP)
0260.33.3205,ÁREA DE PROTEÇÃO AMBIENTAL MARINHA BOTO CINZA,MANGARATIBA (RJ)
0270.33.3270,REFÚGIO DE VIDA SILVESTRE MUNICIPAL DAS SERRAS DE MARICÁ,MARICÁ (RJ)
0270.33.3484,MONUMENTO NATURAL MUNICIPAL DA PEDRA DE ITAOCAIA,MARICÁ (RJ)
0270.33.3502,MONUMENTO NATURAL MUNICIPAL DA PEDRA DE INOÃ,MARICÁ (RJ)
0270.33.3503,ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DAS SERRAS DE MARICÁ,MARICÁ (RJ)
0320.32.2054,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO DEGREDO,LINHARES (ES)
0330.33.3156,PARQUE NATURAL MUNICIPAL DE NITERÓI,NITERÓI (RJ)
0330.33.3169,ÁREA DE PROTEÇÃO AMBIENTAL DOS MORROS DA GUANABARA,NITERÓI (RJ)
0330.33.3965,ÁREA DE PROTEÇÃO AMBIENTAL DA FORTALEZA DE SANTA CRUZ E DOS FORTES DO PICO E DO RIO BRANCO,NITERÓI (RJ)
0330.33.3968,PARQUE NATURAL MUNICIPAL DA ÁGUA ESCONDIDA,NITERÓI (RJ)
0330.33.3969,ÁREA DE PROTEÇÃO AMBIENTAL DAS LAGUNAS E FLORESTAS DE NITERÓI,NITERÓI (RJ)
0330.33.4348,PARQUE NATURAL MUNICIPAL FLORESTA DO BALDEADOR,NITERÓI (RJ)
0332.32.2879,MONUMENTO NATURAL MUNICIPAL FALÉSIAS DE MARATAÍZES,MARATAÍZES (ES)
0350.33.1580,PARQUE NATURAL MUNICIPAL DE NOVA IGUAÇU,NOVA IGUAÇU (RJ)
0350.33.1871,ÀREA DE PROTEÇÃO AMBIENTAL RIO D´OURO,NOVA IGUAÇU (RJ)
0350.33.1872,ÁREA DE PROTEÇÃO AMBIENTAL GUANDÚ-AÇU,NOVA IGUAÇU (RJ)
0350.33.1873,ÀREA DE PROTEÇÃO AMBIENTAL RETIRO,NOVA IGUAÇU (RJ)
0350.33.1875,ÁREA DE PROTEÇÃO AMBIENTAL MORRO AGUDO,NOVA IGUAÇU (RJ)
0350.33.1876,ÀREA DE PROTEÇÃO AMBIENTAL TINGUAZINHO,NOVA IGUAÇU (RJ)
0350.33.1878,ÁREA DE PROTEÇÃO AMBIENTAL JACERUBA,NOVA IGUAÇU (RJ)
0350.33.1879,ÀREA DE PROTEÇÃO AMBIENTAL DE TINGUÁ,NOVA IGUAÇU (RJ)
0350.33.2749,AREA DE PROTEÇÃO AMBIENTAL POSSE/GUARITA,NOVA IGUAÇU (RJ)
0370.23.4218,MONUMENTO NATURAL DA SERRA DA RAJADA,CAUCAIA (CE)
0380.33.3524,ÁREA DE PROTEÇÃO AMBIENTAL DA BAÍA DE PARATY,PARATY (RJ)
0415.33.4110,PARQUE NATURAL MUNICIPAL DOS TERRAÇOS MARINHOS,QUISSAMÃ (RJ)
0415.33.4178,ÁREA DE PROTEÇÃO AMBIENTAL DO CANAL CAMPOS-MACAÉ,QUISSAMÃ (RJ)
0420.32.2908,PARQUE NATURAL MUNICIPAL DOS PURIS,PIÚMA (ES)
0440.23.3295,PARQUE NATURAL MUNICIPAL DAS DUNAS DA SABIAGUABA,FORTALEZA (CE)
0440.23.3900,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DA MARAPONGA,FORTALEZA (CE)
0452.33.2551,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DO IRIRY,RIO DAS OSTRAS (RJ)
0452.33.2552,PARQUE NATURAL MUNICIPAL DOS PÁSSAROS,RIO DAS OSTRAS (RJ)
0452.33.2553,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE ITAPEBUSSUS,RIO DAS OSTRAS (RJ)
0455.33.1763,PARQUE NATURAL MUNICIPAL DA CATACUMBA,RIO DE JANEIRO (RJ)
0455.33.1764,APA DA SERRA DA CAPOEIRA GRANDE,RIO DE JANEIRO (RJ)
0455.33.1765,PARQUE NATURAL MUNICIPAL DA SERRA DA CAPOEIRA GRANDE,RIO DE JANEIRO (RJ)
0455.33.1766,APA DO MORRO DO SILVÉRIO,RIO DE JANEIRO (RJ)
0455.33.1767,ÁREA DE PROTEÇÃO AMBIENTAL DAS BRISAS,RIO DE JANEIRO (RJ)
0455.33.1769,PARQUE NATURAL MUNICIPAL DA SERRA DO MENDANHA,RIO DE JANEIRO (RJ)
0455.33.1777,APA DA ORLA MARÍTIMA DA BAÍA DE SEPETIBA,RIO DE JANEIRO (RJ)
0455.33.1778,PARQUE NATURAL MUNICIPAL FAZENDA DO VIEGAS,RIO DE JANEIRO (RJ)
0455.33.1782,APA DO MORRO DO VALQUEIRE,RIO DE JANEIRO (RJ)
0455.33.1783,APA DA FAZENDA DA TAQUARA,RIO DE JANEIRO (RJ)
0455.33.1784,APA DO BAIRRO DA FREGUESIA,RIO DE JANEIRO (RJ)
0455.33.1785,PARQUE NATURAL MUNICIPAL DA FREGUESIA,RIO DE JANEIRO (RJ)
0455.33.1786,PARQUE NATURAL MUNICIPAL BOSQUE DA BARRA,RIO DE JANEIRO (RJ)
0455.33.1787,APA DAS TABEBUIAS,RIO DE JANEIRO (RJ)
0455.33.1788,ÁREA DE PROTEÇÃO AMBIENTAL DO PARQUE MUNICIPAL ECOLÓGICO DE MARAPENDI,RIO DE JANEIRO (RJ)
0455.33.1789,PARQUE NATURAL MUNICIPAL DE MARAPENDI,RIO DE JANEIRO (RJ)
0455.33.1790,PARQUE NATURAL MUNICIPAL CHICO MENDES,RIO DE JANEIRO (RJ)
0455.33.1791,APA DA PAISAGEM E DO AREAL DA PRAIA DO PONTAL,RIO DE JANEIRO (RJ)
0455.33.1793,APA DA ORLA MARÍTIMA,RIO DE JANEIRO (RJ)
0455.33.1795,APA DA PEDRA BRANCA,RIO DE JANEIRO (RJ)
0455.33.1796,APA DA PRAINHA,RIO DE JANEIRO (RJ)
0455.33.1797,APA DA SERRA DOS PRETOS FORROS,RIO DE JANEIRO (RJ)
0455.33.1798,APA DOS MORROS DA BABILÔNIA E DE SÃO JOÃO,RIO DE JANEIRO (RJ)
0455.33.1799,APA DO MORRO DO LEME,RIO DE JANEIRO (RJ)
0455.33.1800,PARQUE NATURAL MUNICIPAL PENHASCO DOIS IRMÃOS - ARQUITETO SÉRGIO BERNARDES,RIO DE JANEIRO (RJ)
0455.33.1801,PARQUE NATURAL MUNICIPAL DARKE DE MATTOS,RIO DE JANEIRO (RJ)
0455.33.1802,PARQUE NATURAL MUNICIPAL DA CIDADE,RIO DE JANEIRO (RJ)
0455.33.1803,PARQUE NATURAL MUNICIPAL DA PRAINHA,RIO DE JANEIRO (RJ)
0455.33.1805,PARQUE NATURAL MUNICIPAL JOSÉ GUILHERME MERQUIOR,RIO DE JANEIRO (RJ)
0455.33.1807,PARQUE NATURAL MUNICIPAL FONTE DA SAUDADE,RIO DE JANEIRO (RJ)
0455.33.1811,MONUMENTO NATURAL DOS MORROS DO PÃO DE AÇÚCAR E URCA,RIO DE JANEIRO (RJ)
0455.33.1814,PARQUE NATURAL MUNICIPAL DO JARDIM DO CARMO,RIO DE JANEIRO (RJ)
0455.33.1816,APA DO MORRO DOS CABRITOS,RIO DE JANEIRO (RJ)
0455.33.1817,APA DO MORRO DA SAUDADE,RIO DE JANEIRO (RJ)
0455.33.1820,ÁREA DE PROTEÇÃO AMBIENTAL DO SACOPÃ,RIO DE JANEIRO (RJ)
0455.33.1822,APA DO VÁRZEA COUNTRY CLUB,RIO DE JANEIRO (RJ)
0455.33.1823,APA DE GRUMARI,RIO DE JANEIRO (RJ)
0455.33.1824,APA DAS PONTAS DE COPACABANA E ARPOADOR E SEUS ENTORNOS,RIO DE JANEIRO (RJ)
0455.33.1825,APA DE SÃO JOSÉ,RIO DE JANEIRO (RJ)
0455.33.1826,ARIE DE SÃO CONRADO,RIO DE JANEIRO (RJ)
0455.33.1827,PARQUE NATURAL MUNICIPAL DE GRUMARI,RIO DE JANEIRO (RJ)
0455.33.2868,PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA,RIO DE JANEIRO (RJ)
0455.33.2903,ÁREA DE PROTEÇÃO AMBIENTAL PAISAGEM CARIOCA,RIO DE JANEIRO (RJ)
0455.33.4295,ÁREA DE PROTEÇÃO AMBIENTAL DO SERTÃO CARIOCA,RIO DE JANEIRO (RJ)
0455.33.4350,REFÚGIO DE VIDA SILVESTRE DOS CAMPOS DE SERNAMBETIBA,RIO DE JANEIRO (RJ)
0455.33.4351,REFÚGIO DE VIDA SILVESTRE DA FLORESTA DO CAMBOATÁ,RIO DE JANEIRO (RJ)
0455.33.4378,"ÁREA DE PROTEÇÃO AMBIENTAL DAS SERRAS DE INHOAÍBA, CANTAGALO E SANTA EUGÊNIA",RIO DE JANEIRO (RJ)
0455.33.4379,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FLORESTA DA POSSE,RIO DE JANEIRO (RJ)
0490.33.3214,ÁREA DE PROTEÇÃO AMBIENTAL DO ENGENHO PEQUENO,SÃO GONÇALO (RJ)
0490.33.3215,PARQUE NATURAL MUNICIPAL DE SÃO GONÇALO,SÃO GONÇALO (RJ)
0490.33.3698,ÁREA DE PROTEÇÃO AMBIENTAL DAS ESTÂNCIAS DE PENDOTIBA,SÃO GONÇALO (RJ)
0490.33.3699,ÁREA DE PROTEÇÃO AMBIENTAL DE ITAOCA,SÃO GONÇALO (RJ)
0490.33.3700,ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO DO GAIA,SÃO GONÇALO (RJ)
0500.32.2566,ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL MESTRE ÁLVARO,SERRA (ES)
0500.32.2582,ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DA LAGOA JACUNÉM,SERRA (ES)
0500.32.2583,PARQUE NATURAL MUNICIPAL DE BICANGA,SERRA (ES)
0500.32.2586,ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO MORRO DO VILANTE,SERRA (ES)
0500.32.2728,ÁREA DE PROTEÇÃO AMBIENTAL MUNICÍPAL MANGUEZAL SUL DA SERRA,SERRA (ES)
0500.33.4253,REFÚGIO DE VIDA SILVESTRE DA LAGOA DO TAÍ,SÃO JOÃO DA BARRA (RJ)
0500.33.4300,ÁREA DE PROTEÇÃO AMBIENTAL DA CEHAB,SÃO JOÃO DA BARRA (RJ)
0500.33.4320,ÁREA DE PROTEÇÃO AMBIENTAL DO SALGADO,SÃO JOÃO DA BARRA (RJ)
0510.32.2558,PARQUE NATURAL MUNICIPAL ROTA DAS GARÇAS,VIANA (ES)
0510.33.2034,PARQUE NATURAL MUNICIPAL JARDIM JUREMA,SÃO JOÃO DE MERITI (RJ)
0520.32.2778,PARQUE NATURAL MUNICIPAL DE JACARENEMA,VILA VELHA (ES)
0520.32.2888,PARQUE NATURAL MUNICIPAL MORRO DA MANTEIGUEIRA,VILA VELHA (ES)
0520.32.2915,MONUMENTO NATURAL MUNICIPAL MORRO DO PENEDO,VILA VELHA (ES)
0520.32.2920,ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA GRANDE,VILA VELHA (ES)
0520.33.3027,PARQUE NATURAL MUNICIPAL DA MATA ATLÂNTICA ALDEENSE,SÃO PEDRO DA ALDEIA (RJ)
0530.32.2644,PARQUE ESTADUAL DA FONTE GRANDE,VITÓRIA (ES)
0530.32.2645,PARQUE NATURAL MUNICIPAL DE TABUAZEIRO,VITÓRIA (ES)
0530.32.2646,PARQUE NATURAL MUNICIPAL GRUTA DA ONÇA,VITÓRIA (ES)
0530.32.2647,ESTAÇÃO ECOLÓGICA MUNICIPAL ILHA DO LAMEIRÃO,VITÓRIA (ES)
0530.32.2648,PARQUE NATURAL MUNICIPAL PEDRA DOS OLHOS,VITÓRIA (ES)
0530.32.2649,PARQUE NATURAL MUNICIPAL VALE DO MULEMBÁ,VITÓRIA (ES)
0530.32.2650,PARQUE NATURAL MUNICIPAL VON SCHILGEN,VITÓRIA (ES)
0530.32.2651,PARQUE NATURAL MUNICIPAL DOM LUIZ GONZAGA FERNANDES,VITÓRIA (ES)
0530.32.2652,ÁREA DE PROTEÇÃO AMBIENTAL DO MACIÇO CENTRAL,VITÓRIA (ES)
0530.32.3813,REFUGIO DA VIDA SILVESTRE MUNICIPAL ANDRE RUSCHI,VITÓRIA (ES)
0530.32.3814,REFUGIO DA VIDA SILVESTRE MUNICIPAL DA MATA PALUDOSA,VITÓRIA (ES)
0530.32.3815,AREA DE PROTEÇÃO AMBIENTAL BAÍA DAS TARTARUGAS,VITÓRIA (ES)
0535.23.3034,ÁREA DE PROTEÇÃO AMBIENTAL DA PRAIA DE PONTA GROSSA,ICAPUÍ (CE)
0535.23.3128,ÁREA DE PROTEÇÃO AMBIENTAL DO MANGUEZAL DA BARRA GRANDE,ICAPUÍ (CE)
0540.42.1575,MONUMENTO NATURAL MUNICIPAL DA LAGOA DO PERI,FLORIANÓPOLIS (SC)
0540.42.1839,PARQUE NATURAL MUNICIPAL DA LAGOINHA DO LESTE,FLORIANÓPOLIS (SC)
0540.42.1841,PARQUE NATURAL MUNICIPAL DO MACIÇO DA COSTEIRA,FLORIANÓPOLIS (SC)
0540.42.3029,PARQUE NATURAL MUNICIPAL DO MORRO DA CRUZ,FLORIANÓPOLIS (SC)
0540.42.3159,MONUMENTO NATURAL MUNICIPAL DA GALHETA,FLORIANÓPOLIS (SC)
0540.42.3430,PARQUE NATURAL MUNICIPAL LAGOA DO JACARÉ DAS DUNAS DO SANTINHO,FLORIANÓPOLIS (SC)
0540.42.3732,PARQUE NATURAL MUNICIPAL DAS DUNAS DA LAGOA DA CONCEIÇÃO,FLORIANÓPOLIS (SC)
0540.42.4316,REFUGIO DE VIDA SILVESTRE MUNICIPAL MEIEMBIPE,FLORIANÓPOLIS (SC)
0540.42.4318,REFUGIO DE VIDA SILVESTRE MUNICIPAL DO MORRO DO LAMPIÃO,FLORIANÓPOLIS (SC)
0555.33.3689,ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DA CAMBRAIA,SEROPÉDICA (RJ)
0605.28.4948,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DOS MANGUEZAIS,BARRA DOS COQUEIROS (SE)
0605.43.1860,MONUMENTO NATURAL MUNICIPAL CAPÃO DA AMIZADE,CRISTAL (RS)
0607.32.3065,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MUNICIPAL AROEIRAS DO RIACHO,ARACRUZ (ES)
0704.33.5053,PARQUE NATURAL MUNICIPAL DO MICO LEÃO DOURADO,CABO FRIO (RJ)
0704.33.5054,PARQUE NATURAL MUNICIPAL DORMITÓRIO DAS GARÇAS “WALTER BESSA”,CABO FRIO (RJ)
0750.25.3853,PARQUE NATURAL MUNICIPAL DO CUIÁ - PARQUE CUIÁ,JOÃO PESSOA (PB)
0810.24.1851,PARQUE NATURAL MUNICIPAL DA CIDADE DO NATAL DOM NIVALDO MONTE,NATAL (RN)
0820.42.1865,ÁREA DE PROTEÇÃO AMBIENTAL DO BRILHANTE,ITAJAÍ (SC)
0820.42.1866,PARQUE NATURAL MUNICIPAL ILHA DAS CAPIVARAS/SIBARA,ITAJAÍ (SC)
0820.42.1906,PARQUE NATURAL MUNICIPAL DO ATALAIA,ITAJAÍ (SC)
0830.42.3770,REFÚGIO DE VIDA SILVESTRE DE ITAPEMA,ITAPEMA (SC)
0845.42.2049,PARQUE NATURAL MUNICIPAL CARIJÓS,ITAPOÁ (SC)
0860.29.3847,MONUMENTO NATURAL PENÍNSULA DA SIRIBINHA,CONDE (BA)
0910.42.2923,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DONA FRANCISCA,JOINVILLE (SC)
0910.42.2924,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO MORRO DO BOA VISTA,JOINVILLE (SC)
0910.42.2925,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO MORRO DO IRIRIÚ,JOINVILLE (SC)
0910.42.2926,PARQUE NATURAL MUNICIPAL DA CAIEIRA,JOINVILLE (SC)
0910.42.2927,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DA ILHA DO MORRO DO AMARAL,JOINVILLE (SC)
0930.25.1727,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DA BARRA DO RIO CAMARATUBA,MATARACA (PB)
1040.42.4195,PARQUE NATURAL MUNICIPAL MARACAJÁ,MARACAJÁ (SC)
1050.35.2776,PARQUE NATURAL MUNICIPAL DO JUQUERIQUERÊ,CARAGUATATUBA (SP)
1130.42.2359,PARQUE NATURAL MUNICIPAL DE NAVEGANTES,NAVEGANTES (SC)
1160.26.4250,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JIQUIÁ,RECIFE (PE)
1160.26.4257,ÁREA DE PROTEÇÃO AMBIENTAL SÍTIO DOS PINTOS,RECIFE (PE)
1160.26.4262,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO AÇUDE DE APIPUCOS,RECIFE (PE)
1160.26.4274,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPIVARAS,RECIFE (PE)
1160.26.4276,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DOIS UNIDOS,RECIFE (PE)
1160.26.4277,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO ZECA,RECIFE (PE)
1160.26.4279,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO IPUTINGA,RECIFE (PE)
1160.26.4280,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JOANA BEZERRA,RECIFE (PE)
1160.26.4281,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DA VÁRZEA,RECIFE (PE)
1160.26.4282,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DO BARRO,RECIFE (PE)
1160.26.4283,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO RIO JORDÃO,RECIFE (PE)
1160.26.4284,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO MIGUEL,RECIFE (PE)
1160.26.4285,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÍTIO GRANDE,RECIFE (PE)
1160.26.4286,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO TAMANDARÉ,RECIFE (PE)
1160.26.4288,ÁREA DE PROTEÇÃO AMBIENTAL CAXANGÁ,RECIFE (PE)
1160.26.4289,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CURADO,RECIFE (PE)
1160.26.4290,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LAGOA DO ARAÇÁ,RECIFE (PE)
1160.26.4291,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DAS NASCENTES,RECIFE (PE)
