Código UC;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área (ha);Área (ha) Amazônia;Área (ha) Caatinga;Área (ha) Cerrado;Área (ha) Mata Atlântica;Área (ha) Pampa;Área (ha) Pantanal;Área (ha) Área Marinha
0000.00.0068;ESTAÇÃO ECOLÓGICA RIO ACRE;Federal;Estação Ecológica;Category Ia;AC;1981;Decreto 86061 de 02/06/1981;-;Sena Madureira (AC), Assis Brasil (AC);Sim;Sim;78.455;78.455;0;0;0;0;0;0
0000.00.0069;ESTAÇÃO ECOLÓGICA DO SERIDÓ;Federal;Estação Ecológica;Category Ia;RN;1982;Decreto 87222 de 31/05/1982;-;Serra Negra do Norte (RN);Sim;Sim;1.124;0;1.124;0;0;0;0;0
0000.00.0070;ESTAÇÃO ECOLÓGICA DO TAIM;Federal;Estação Ecológica;Category Ia;RS;1986;Decreto 92963 de 21/07/1986;Ampliação - Decreto S/N de 05/06/2017;Rio Grande (RS), Santa Vitória do Palmar (RS);Não;Sim;32.110;0;0;0;0;31.898;0;213
0000.00.0071;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;Federal;Estação Ecológica;Category Ia;SP;1986;Decreto 92964 de 21/07/1986;-;Cananéia (SP), Itanhaém (SP), Peruíbe (SP);Sim;Não;1.728;0;0;0;82;0;0;1.646
0000.00.0072;ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ;Federal;Estação Ecológica;Category Ia;AM;1985;Decreto 91307 de 03/06/1985;-;Japurá (AM);Sim;Sim;831.525;831.525;0;0;0;0;0;0
0000.00.0073;ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO;Federal;Estação Ecológica;Category Ia;SP;2002;Decreto S/N de 16/07/2002;Ampliação - Decreto S/N de 14/05/2004;Euclides da Cunha Paulista (SP), Marabá Paulista (SP), Presidente Epitácio (SP), Teodoro Sampaio (SP);Sim;Sim;6.681;0;0;0;6.681;0;0;0
0000.00.0074;ESTAÇÃO ECOLÓGICA RASO DA CATARINA;Federal;Estação Ecológica;Category Ia;BA;1984;Decreto 89268 de 03/01/1984;Recategorização - Portaria 373 de 11/10/2001;Rodelas (BA), Paulo Afonso (BA), Jeremoabo (BA);Sim;Sim;104.842;0;104.842;0;0;0;0;0
0000.00.0075;ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS;Federal;Estação Ecológica;Category Ia;MT;1982;Decreto 87222 de 31/05/1982;-;Cáceres (MT), Porto Estrela (MT);Sim;Sim;27.160;0;0;27.160;0;0;0;0
0000.00.0076;ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS;Federal;Estação Ecológica;Category Ia;BA, TO;2001;Decreto 1 de 27/09/2001;-;Formosa do Rio Preto (BA), Almas (TO), Mateiros (TO), Ponte Alta do Tocantins (TO), Rio da Conceição (TO);Sim;Sim;707.081;0;0;707.081;0;0;0;0
0000.00.0077;FLORESTA NACIONAL DE AÇUNGUI;Federal;Floresta;Category VI;PR;1968;Portaria 559 de 25/10/1968;-;Campo Largo (PR);Não;Sim;491;0;0;0;491;0;0;0
0000.00.0078;FLORESTA NACIONAL DE CAÇADOR;Federal;Floresta;Category VI;SC;1968;Portaria 560 de 25/10/1968;-;Caçador (SC);Não;Não;707;0;0;0;707;0;0;0
0000.00.0079;FLORESTA NACIONAL DE CAPÃO BONITO;Federal;Floresta;Category VI;SP;1968;Portaria 558 de 25/10/1968;-;Buri (SP), Capâo Bonito (SP);Sim;Sim;4.237;0;0;3.683;554;0;0;0
0000.00.0080;FLORESTA NACIONAL DE CHAPECÓ;Federal;Floresta;Category VI;SC;1968;Portaria 560 de 25/10/1968;-;Chapecó (SC), Guatambú (SC);Não;Sim;1.604;0;0;0;1.604;0;0;0
0000.00.0081;FLORESTA NACIONAL DE CONTENDAS DO SINCORÁ;Federal;Floresta;Category VI;BA;1999;Decreto S/N de 21/09/1999;-;Contendas do Sincorá (BA), Tanhaçu (BA);Sim;Sim;11.216;0;11.216;0;0;0;0;0
0000.00.0082;FLORESTA NACIONAL DE AÇU;Federal;Floresta;Category VI;RN;1950;Lei ordinária 1175 de 10/08/1950;Recategorização - Portaria 245 de 18/07/2001;Açu (RN);Não;Sim;225;0;225;0;0;0;0;0
0000.00.0083;FLORESTA NACIONAL ALTAMIRA;Federal;Floresta;Category VI;PA;1998;Decreto 2483 de 02/02/1998;-;Altamira (PA), Itaituba (PA), Trairão (PA);Sim;Sim;725.262;725.262;0;0;0;0;0;0
0000.00.0084;FLORESTA NACIONAL DE ANAUÁ;Federal;Floresta;Category VI;RR;2005;Decreto S/N de 18/02/2005;-;Caracaraí (RR), Rorainópolis (RR);Não;Sim;259.401;259.401;0;0;0;0;0;0
0000.00.0085;FLORESTA NACIONAL DE BALATA-TUFARI;Federal;Floresta;Category VI;AM;2005;Decreto S/N de 17/02/2005;Ampliação - Decreto S/N de 08/05/2008;Canutama (AM), Humaitá (AM), Tapauá (AM);Não;Sim;1.079.672;1.079.672;0;0;0;0;0;0
0000.00.0086;FLORESTA NACIONAL DE BRASÍLIA;Federal;Floresta;Category VI;DF, GO;1999;Decreto S/N de 10/06/1999;-;Brasília (DF), Padre Bernardo (GO), Águas Lindas de Goiás (GO);Não;Sim;9.336;0;0;9.336;0;0;0;0
